ticker,settore,industria,capitalizzazione,azioni_in_circolazione,flottante,valuta,tipo,denominazione,denaro,lettera,spread_pct
COP.MI,Financial Services,Asset Management,15762664.0,1970333.0,977076.0,EUR,EQUITY,Copernico Sim S.p.A.,7.9,8.4,6.134969325153374
CORE.MI,Industrials,Specialty Business Services,20324288.0,14999474.0,5035323.0,EUR,EQUITY,Soluzione Tasse S.p.A.,1.32,1.355,2.616822429906536
COSMO.MI,Healthcare,Pharmaceutical Retailers,19871294.0,34716056.0,31112159.0,EUR,EQUITY,Farmacosmo S.p.A.,0.512,0.526,2.6974951830443183
CPR.MI,Consumer Defensive,Beverages - Wineries & Distilleries,6980289024.0,1199362292.0,573702959.0,EUR,EQUITY,,,,
CREG.MI,Technology,Software - Application,43762860.0,14784750.0,4183624.0,EUR,EQUITY,Creactives Group S.p.A.,,,
CRL.MI,Technology,Electronic Components,3009183744.0,112492850.0,53258615.0,EUR,EQUITY,Carel Industries S.p.A.,26.7,26.75,0.18709073900842174
CSP.MI,Consumer Cyclical,Apparel Manufacturing,11568005.0,38949514.0,23794258.0,EUR,EQUITY,CSP International Fashion Group S.p.A.,0.293,0.297,1.3559322033898318
CUBE.MI,Financial Services,Asset Management,48848108.0,20875260.0,,EUR,EQUITY,Cube Labs S.p.A.,,,
CVG.MI,Communication Services,Telecom Services,13402937.0,7324009.0,1403026.0,EUR,EQUITY,Convergenze S.p.A. Società Benefit,1.79,1.83,2.2099447513812174
CY4.MI,Technology,Software - Infrastructure,218035072.0,23121428.0,14931590.0,EUR,EQUITY,Cy4gate S.p.A.,9.39,9.44,0.5310674455655755
CYB.MI,Technology,Software - Infrastructure,50246836.0,40851083.0,15140863.0,EUR,EQUITY,Cyberoo S.p.A.,1.23,1.235,0.40567951318459355
D.MI,Financial Services,Capital Markets,147750000.0,18750000.0,,EUR,EQUITY,Directa Sim S.p.A.,7.76,8.0,3.04568527918782
DAL.MI,Technology,Scientific & Technical Instruments,316279008.0,55781128.0,14655919.0,EUR,EQUITY,Datalogic S.p.A.,5.67,5.68,0.17621145374448965
DAN.MI,Industrials,Specialty Industrial Machinery,4541290496.0,36367962.0,43686570.0,EUR,EQUITY,Danieli & C. Officine Meccaniche S.p.A.,63.4,63.5,0.15760441292356409
DANR.MI,Industrials,Specialty Industrial Machinery,3037547264.0,35204779.0,43686570.0,EUR,EQUITY,Danieli & C. Officine Meccaniche S.p.A.,42.42,42.48,0.14134275618373418
DATA.MI,Technology,Software - Infrastructure,30736470.0,9794619.0,5700950.0,EUR,EQUITY,Datrix S.p.A.,1.825,1.835,0.5464480874316945
DBA.MI,Industrials,Engineering & Construction,46525168.0,10921400.0,5446830.0,EUR,EQUITY,DBA Group S.p.A.,4.16,4.22,1.431980906921232
DDM.MI,Consumer Cyclical,Leisure,23147600.0,7957000.0,,EUR,EQUITY,Dedem S.p.A.,2.6,2.92,11.594202898550721
DEA.MI,,,67263384.0,3024273.0,,EUR,EQUITY,Distribuzione Elettrica Adriatica S.p.a.,8.3,8.4,1.1976047904191571
DEX.MI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",124805320.0,59431107.0,14611601.0,EUR,EQUITY,Dexelance S.p.A.,2.1,2.11,0.4750593824227927
DGT.MI,Communication Services,Advertising Agencies,25196354.0,13483108.0,7810878.0,EUR,EQUITY,DigiTouch S.p.A.,1.83,1.865,1.8944519621109563
DHH.MI,Technology,Software - Infrastructure,145673088.0,5581343.0,4799128.0,EUR,EQUITY,Dominion Hosting Holding S.p.A.,26.1,26.5,1.5209125475285117
DIA.MI,Healthcare,Diagnostics & Research,3643911168.0,49442490.0,14955700.0,EUR,EQUITY,DiaSorin S.p.A.,73.66,73.72,0.08142217397204814
DIB.MI,Communication Services,Electronic Gaming & Multimedia,177940448.0,14350037.0,4647549.0,EUR,EQUITY,Digital Bros S.p.A.,12.34,12.44,0.8071025020177534
DIS.MI,Industrials,Marine Shipping,870583360.0,119094855.0,119062699.0,EUR,EQUITY,d'Amico International Shipping S.A.,7.305,7.32,0.2051282051282129
DIT.MI,Consumer Cyclical,Travel Services,5474109.0,21054266.0,,EUR,EQUITY,Destination Italia S.p.A.,0.257,0.265,3.065134099616861
DLG.MI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5896200192.0,148444115.0,44341112.0,EUR,EQUITY,De'Longhi S.p.A.,39.7,39.76,0.15101938082052646
DNR.MI,Industrials,Electrical Equipment & Parts,1290875392.0,48267914.0,47647722.0,EUR,EQUITY,Industrie De Nora S.p.A.,6.485,6.5,0.23103581055063044
DOT.MI,Real Estate,Real Estate Services,17615866.0,4186791.0,,EUR,EQUITY,Dotstay S.P.A,,,
DOV.MI,Financial Services,Asset Management,372855936.0,189652064.0,80058094.0,EUR,EQUITY,doValue S.p.A.,1.96,1.966,0.30565461029037216
DOX.MI,Technology,Software - Infrastructure,43036232.0,11568879.0,2131335.0,EUR,EQUITY,Doxee S.p.A.,3.69,3.73,1.078167115902966
DPG.MI,Industrials,Specialty Industrial Machinery,,,,EUR,EQUITY,,1.6116,1.6856,4.488657042338958
E9IA.MI,Technology,Scientific & Technical Instruments,70772096.0,35386050.0,7620386.0,EUR,EQUITY,e-Novia S.p.A.,,,
EAV.MI,Consumer Cyclical,Resorts & Casinos,9826995.0,6969500.0,,EUR,EQUITY,Emma Villas S.p.A.,1.36,1.42,4.316546762589915
ECK.MI,Utilities,Utilities - Diversified,56467712.0,17111428.0,3007116.0,EUR,EQUITY,Ecosuntek S.p.A.,3.2,3.26,1.8575851393188734
ECMB.MI,Consumer Cyclical,Packaging & Containers,23743550.0,4278117.0,,EUR,EQUITY,Ecomembrane S.p.A.,5.4,5.5,1.8348623853210944
ECMPM.MI,Real Estate,REIT - Retail,1468144000.0,54679475.0,43440656.0,EUR,EQUITY,Eurocommercial Properties N.V.,26.85,27.2,1.2950971322849136
ECNL.MI,Consumer Cyclical,Textile Manufacturing,118173168.0,71893756.0,34662691.0,EUR,EQUITY,Aquafil S.p.A.,1.372,1.382,0.7262164124909068
EDAC.MI,Industrials,Specialty Business Services,25606870.0,8395695.0,8395695.0,EUR,EQUITY,EdiliziAcrobatica S.p.A.,2.55,3.5,31.404958677685958
EDNR.MI,Energy,Oil & Gas Integrated,9093345280.0,109559893.0,133937396.0,EUR,EQUITY,Edison S.p.A.,1.91,1.922,0.6263048016701467
EGB.MI,Industrials,Building Products & Equipment,9467062.0,13532500.0,,EUR,EQUITY,E-Globe S.p.A.,0.52,0.535,2.8436018957345994
EGLA.MI,Consumer Cyclical,Auto Parts,167217088.0,88985519.0,41607228.0,EUR,EQUITY,EuroGroup Laminations S.p.A.,1.022,1.03,0.7797270955165698
EHI.MI,Financial Services,Shell Companies,37617476.0,3762500.0,,EUR,EQUITY,EHI! S.p.A.,9.851,10.2,3.4811231360031756
ELB.MI,Industrials,Aerospace & Defense,15259440.0,2876500.0,122506.0,EUR,EQUITY,,4.92,5.0,1.612903225806453
ELC.MI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",69131912.0,58586369.0,11352281.0,EUR,EQUITY,Elica S.p.A.,1.155,1.18,2.141327623126331
ELN.MI,Healthcare,Medical Devices,1227204992.0,80209472.0,10141593.0,EUR,EQUITY,EL.En. S.p.A.,15.3,15.32,0.13063357282821406
ELSA.MI,Industrials,Specialty Industrial Machinery,8323580.0,3119000.0,1673997.0,EUR,EQUITY,ELSA Solutions S.p.A.,2.22,2.3,3.5398230088495413
EM.MI,Industrials,Tools & Accessories,134503856.0,162837602.0,48786146.0,EUR,EQUITY,Emak S.p.A.,0.822,0.825,0.364298724954463
ENA.MI,Real Estate,Real Estate Services,4042686.0,8422264.0,1507565.0,EUR,EQUITY,,0.48,0.496,3.278688524590167
ENAV.MI,Industrials,Airports & Air Services,2677851904.0,540325280.0,251510611.0,EUR,EQUITY,ENAV S.p.A.,4.952,4.958,0.12108980827447482
ENEL.MI,Utilities,Utilities - Diversified,94247510016.0,9921834654.0,7525406225.0,EUR,EQUITY,Enel SpA,,,
ENI.MI,Energy,Oil & Gas Integrated,69461958656.0,2887630599.0,1840625733.0,EUR,EQUITY,Eni S.p.A.,24.045,24.06,0.062363579669460614
ENT.MI,Financial Services,Asset Management,8539911.0,7763555.0,,EUR,EQUITY,Entera S.p.A.,1.06,1.1,3.703703703703707
ENV.MI,Consumer Defensive,Packaged Foods,87576000.0,17800000.0,3319700.0,EUR,EQUITY,Enervit S.p.A.,4.85,4.98,2.644964394710087
ENY.MI,Industrials,Electrical Equipment & Parts,35149776.0,54076580.0,8398634.0,EUR,EQUITY,Energy S.p.A.,0.638,0.65,1.8633540372670823
EPH.MI,Financial Services,Asset Management,5910562.0,112368105.0,26724424.0,EUR,EQUITY,EPH Invest S.p.A.,0.05,0.0522,4.305283757338552
EPRB.MI,Industrials,Consulting Services,3321900.0,2768250.0,,EUR,EQUITY,Eprcomunicazione S.p.A.,1.17,1.22,4.184100418410046
EQUI.MI,Financial Services,Capital Markets,295681440.0,51512447.0,10750844.0,EUR,EQUITY,Equita Group S.p.A.,5.74,5.77,0.521285838401379
ERFO.MI,Consumer Defensive,Packaged Foods,9733185.0,8427000.0,2994013.0,EUR,EQUITY,Laboratorio Farmaceutico Erfo S.p.A.,1.15,1.16,0.8658008658008667
ERG.MI,Utilities,Utilities - Renewable,3226875648.0,145354760.0,33280426.0,EUR,EQUITY,ERG S.p.A.,22.2,22.22,0.09004952723998007
ESAU.MI,Industrials,Specialty Industrial Machinery,46146200.0,11890000.0,3668541.0,EUR,EQUITY,Esautomotion S.p.A.,3.48,3.58,2.832861189801702
ESF.MI,Industrials,Infrastructure Operations,84888160.0,19249014.0,,EUR,EQUITY,Edil San Felice S.p.A.,4.3,4.41,2.525832376578652
ESIGM.MI,Industrials,Engineering & Construction,10877043.0,7527365.0,4900239.0,EUR,EQUITY,ESI S.p.A.,1.425,1.475,3.448275862068968
ESPE.MI,Industrials,Engineering & Construction,70902128.0,9140775.0,2126942.0,EUR,EQUITY,Espe S.p.A.,5.8,5.84,0.6872852233676982
ESTM.MI,Consumer Cyclical,Auto Manufacturers,3110094.0,29761667.0,,EUR,EQUITY,Estrima S.p.A.,0.098,0.1,2.020202020202022
ET.MI,Technology,Solar,54687500.0,6562500.0,,EUR,EQUITY,Energy Time S.P.A.,7.0,7.1,1.4184397163120517
ETH.MI,Technology,Computer Hardware,78526712.0,59489927.0,39780319.0,EUR,EQUITY,Eurotech S.p.A.,1.316,1.322,0.45489006823351064
ETI.MI,Energy,Oil & Gas Midstream,5250888.0,1055455.0,311000.0,EUR,EQUITY,ETI S.p.A.,4.0,4.99,22.024471635150174
ETS.MI,Industrials,Engineering & Construction,35520000.0,4800000.0,914976.0,EUR,EQUITY,E.T.S. S.P.A. Engineering and Technical Services,7.1,7.75,8.754208754208758
EUK.MI,Healthcare,Medical Care Facilities,11484522.0,22741628.0,1826153.0,EUR,EQUITY,EuKedos S.p.A.,0.49,0.53,7.843137254901968
EVISO.MI,Utilities,Utilities - Regulated Electric,220575072.0,22257828.0,5825137.0,EUR,EQUITY,eVISO S.p.A.,9.84,9.91,0.7088607594936738
EXAI.MI,Technology,Software - Application,181163232.0,113085660.0,89497122.0,EUR,EQUITY,Expert.ai S.p.A.,1.602,1.612,0.6222775357809588
EXEC.MI,Consumer Defensive,Education & Training Services,10399295.0,9810656.0,2215210.0,EUR,EQUITY,Execus S.p.A.,1.05,1.08,2.8169014084507067
FAE.MI,Technology,Electronic Components,85762856.0,21878280.0,6192480.0,EUR,EQUITY,FAE Technology S.p.A.,3.86,3.9,1.0309278350515474
FARM.MI,Financial Services,Asset Management,47131292.0,226592740.0,,EUR,EQUITY,H-FARM S.p.A.,0.202,0.208,2.9268292682926718
FBK.MI,Financial Services,Banks - Regional,14500115456.0,611819221.0,611782512.0,EUR,EQUITY,FinecoBank Banca Fineco S.p.A.,23.69,23.7,0.04220299641273691
FCH.MI,Industrials,Engineering & Construction,52368252.0,6435721.0,,EUR,EQUITY,Franchetti S.p.A.,5.5,5.7,3.5714285714285747
FCT.MI,Industrials,Aerospace & Defense,4477454336.0,359202121.0,147912659.0,EUR,EQUITY,,12.45,12.46,0.08028904054597803
